"Tilltalsnamn, de 100 vanligaste efter bärarnas födelseår efter tilltalsnamn och tid"

"tilltalsnamn","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Emilia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,..,..,..,..,..,..,..,..,..,11,..,12,..,22,27,29,30,27,43,52,67,63,96,91,88,137,129,163,271,234,245,279,298,301,301,268,280,244,367,589,603,559,649,602,558,573,620,601,529,572,515,503,484,492,438,398,375
"Emma",..,..,..,..,..,..,11,..,12,13,14,19,18,15,20,18,29,20,19,16,13,16,10,13,13,13,15,11,17,15,17,18,..,11,..,11,10,..,16,..,..,10,..,..,13,12,..,16,14,15,26,32,51,58,80,132,189,222,321,512,552,636,712,903,1073,1018,1192,1222,1171,1353,1857,1775,1641,1592,1781,1790,1705,1808,1849,1727,1454,1460,1400,1383,1170,1131,1223,1398,1220,1090,1009,828,860,813,724,647,641,553,452,402,440
"Erika",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,..,14,17,10,17,16,19,21,32,15,21,16,16,11,15,11,17,14,18,13,18,22,23,25,35,43,39,58,64,61,64,100,112,116,165,175,214,226,224,256,268,316,343,368,350,354,356,487,546,455,436,438,426,448,465,505,419,432,475,596,653,577,506,386,317,317,234,211,184,142,121,84,106,71,55,53,55,46,39,29,20,29,21,11,20
"Eva",35,36,18,37,42,66,73,87,126,158,149,175,189,218,237,255,247,302,364,387,464,517,559,663,658,947,1210,1518,1905,2319,2654,2756,2992,3342,3300,3434,3612,3427,3249,3157,3222,3291,3115,2772,2615,2505,2463,2401,2385,2045,1812,1682,1438,1228,1070,1041,871,806,702,638,561,482,421,428,409,398,339,229,216,181,159,135,114,132,95,110,52,49,46,35,32,28,31,23,22,22,22,22,17,21,36,26,44,45,40,34,40,43,43,46,40
"Felicia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,..,10,..,..,20,19,15,20,32,19,36,60,109,158,222,248,357,547,709,716,673,687,690,608,641,663,613,572,513,500,554,645,461,450,394,377,346,348,359,268,246
"Frida",..,..,..,..,..,..,..,11,..,17,11,19,11,13,15,10,10,..,12,11,..,..,17,..,10,..,..,..,..,..,10,..,11,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,14,11,..,14,15,23,43,64,106,153,207,350,384,400,445,449,529,574,657,632,675,756,783,770,817,874,898,1151,1066,970,796,691,632,593,480,459,377,451,452,419,372,320,279,231,201,162,154,126,112,103,80,61
"Gerd",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Gun",..,..,..,..,..,..,16,19,28,49,73,106,189,238,275,342,426,503,616,656,710,719,708,885,870,821,919,961,895,862,748,775,678,612,572,530,486,511,446,406,364,332,278,258,194,160,116,102,105,83,55,53,41,30,23,23,20,15,15,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Gunilla",..,..,..,..,..,..,..,..,..,..,..,..,11,15,18,32,35,59,72,103,106,130,247,285,349,559,824,1003,1112,1152,1149,1087,983,1058,923,816,869,914,846,902,922,886,859,812,715,725,652,620,664,688,592,509,410,348,294,223,176,166,131,116,82,56,46,51,29,34,25,33,23,12,10,13,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Gunnel",..,..,..,..,13,21,30,25,58,66,61,133,114,157,194,254,261,269,331,422,478,523,591,595,568,570,656,614,614,659,594,543,536,462,465,365,319,320,280,257,213,222,202,149,103,105,87,76,75,56,51,39,28,21,20,14,..,15,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hanna",..,10,..,10,14,18,27,28,32,29,33,40,44,46,47,42,53,42,44,38,35,39,38,44,36,25,42,30,34,34,32,61,43,44,42,49,53,48,62,54,43,44,33,47,39,45,76,53,71,59,79,75,79,121,145,193,269,311,411,479,583,659,668,798,1004,944,854,804,848,853,933,1059,1111,1066,1127,1277,1211,1090,1121,1217,1111,1076,1019,1025,1053,1041,976,937,837,802,707,577,562,493,410,374,324,284,251,244,209
"Helen",..,..,..,..,..,..,..,..,..,..,..,..,11,15,14,11,10,18,27,16,21,23,25,23,30,33,57,60,75,93,80,108,106,120,149,154,184,242,250,312,403,457,488,540,769,808,902,953,1142,1248,1340,1357,1198,1085,782,735,573,519,512,401,365,332,330,284,265,274,300,292,244,199,172,189,150,151,114,127,102,72,66,64,51,36,35,31,32,25,21,22,23,11,14,18,15,15,14,18,14,13,14,15,11
"Helena",..,..,..,..,..,..,..,..,..,..,16,17,21,18,21,19,23,25,36,27,33,36,58,69,57,86,85,96,128,156,191,228,193,220,201,235,229,253,263,266,280,320,346,355,429,543,581,698,905,1111,1136,1139,1046,1040,972,993,911,912,938,874,752,624,650,647,610,592,564,508,410,451,405,340,289,281,218,187,161,142,129,88,72,54,48,43,39,26,30,34,25,28,23,27,27,29,32,34,26,34,33,26,27
"Ida",..,..,..,..,..,10,11,15,13,14,21,19,16,18,30,28,30,27,18,29,30,19,27,21,18,12,20,30,22,21,28,14,16,13,16,14,13,..,20,10,13,10,..,..,13,12,..,..,..,..,..,11,..,15,16,29,44,50,74,94,279,285,285,433,465,494,591,610,745,748,755,796,859,888,982,985,852,823,722,758,773,709,757,708,832,858,908,963,1000,852,833,766,636,573,572,459,449,370,317,285,225
"Inga",52,49,35,57,113,143,167,187,275,322,351,426,401,452,452,398,484,442,444,405,441,416,421,411,383,366,437,408,430,379,374,357,312,289,235,230,203,174,136,113,125,83,89,60,63,56,36,36,20,24,26,27,22,16,22,26,28,23,25,17,14,20,19,19,23,16,19,18,19,12,12,12,16,12,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Inger",..,..,..,..,16,22,31,41,49,79,111,145,201,225,276,323,401,548,652,674,792,834,958,1107,1053,1110,1362,1689,2017,1859,1845,1864,1858,1733,1404,1232,1194,1163,992,962,950,798,724,672,502,440,360,356,341,272,208,154,135,104,97,81,65,45,41,38,22,26,23,20,20,14,18,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Ingrid",86,102,68,101,186,216,261,344,432,463,601,665,711,722,818,810,839,836,798,1048,1113,1182,1072,1053,1197,1193,1264,1490,1554,1594,1497,1460,1383,1202,1090,974,1028,1041,925,886,814,815,744,654,556,539,432,388,375,284,231,232,172,141,156,126,140,148,129,98,108,102,101,123,105,110,93,95,71,65,78,67,57,62,69,68,46,49,48,43,38,39,40,39,43,39,45,69,92,105,114,151,173,167,177,214,211,227,212,190,199
"Irene",..,..,..,..,13,..,13,16,23,29,48,60,63,75,80,104,100,125,105,117,141,158,213,249,237,306,371,358,386,422,381,390,389,355,360,761,520,496,416,504,418,383,364,282,249,230,211,207,218,182,136,123,129,107,99,79,78,48,44,34,50,38,34,37,30,26,32,28,40,24,23,21,26,13,18,15,13,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Isabelle ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,11,13,21,25,24,34,22,18,17,24,26,34,30,43,44,40,39,52,44,48,60,66,103,67,67,43,71,63,55,94,84,104,197,244,278,296,362,388,449,512,507,550,529,435,420,402,392,402,440,411,441,450,472,543,521,519,602,553,610,555,603,545,536,474,404
"Jenny",..,11,..,..,..,..,16,20,24,16,11,17,17,23,17,27,15,15,20,23,13,23,21,21,21,15,24,14,25,20,37,23,21,24,29,31,30,21,21,23,32,31,44,58,42,51,57,72,66,108,123,157,217,396,508,1046,1543,1892,2325,2387,2457,2110,1938,1926,1765,1751,1461,1336,1303,1174,1051,1012,1033,954,1012,910,783,672,620,503,377,349,265,227,213,171,128,111,109,99,76,53,54,45,43,31,27,25,21,21,11
